
 Statystyka Produkcji za czas od: 01.01.22 do: 28.01.23
 L.P. numer   nazwa wyrobu                                ilosc    cena    wartosc
__________________________________________________________________________________
   1. 10151     Pokrowiec 10151                          300.00    8.68    2604.00
   2. 10151G    Pokrowiec 10151G                         400.00    7.78    3112.00
   3. 160       160 sliniaczek                            50.00    4.19     209.50
   4. 164       Pokrowiec 164 4x                          74.00   55.18    4083.32
   5. BODY      BODY                                     144.00   10.45    1504.80
   6. DaszeZIP  Daszek ZIP                               495.00   12.28    6078.60
   7. DaszekZW  DaszekZW                                 167.00   13.72    2291.24
   8. H-306ZIP  H-306ZIP                                 125.00   13.40    1675.00
   9. H-ZIP2    H-ZIP2 Pokrowiec                          30.00    6.62     198.60
  10. H.05      H.05 Oslona kpl                          330.00    9.72    3207.60
  11. H.09      H.09 Pas                                 200.00    2.71     542.00
  12. H.10      H.10 Pokrowiec Gr.I                      139.00   16.03    2228.17
  13. H.11      H.11 Pokrowiec Gr.II                     180.00   15.92    2865.60
  14. H.451001  H.1045100 1                              120.00   36.00    4320.00
  15. H.551002  H.1055100 oslona do kapieli Gr2          120.00   43.53    5223.60
  16. H.SK0     H.SK0 Daszek                            4149.00   28.24  117167.76
  17. H.SK006   H.SK006 Gr.1                             150.00   12.46    1869.00
  18. H.SK101   H.SK101 kpl                              450.00    8.34    3753.00
  19. H.SK106   H.SK106 Gr.2                              60.00   14.05     843.00
  20. L02..,    Pokrowiec''Lisa'' L02..                  190.00    6.02    1143.80
  21. L0400     Pokrowiec KIMBA L0400                   5152.00    5.78   29778.56
  22. P02A      P02A                                      88.00    5.92     520.96
  23. P03       P03 Wkladka SISSI                       1592.00    7.01   11159.92
  24. P03R      P03RIPP                                  168.00   15.35    2578.80
  25. P04       P04 Kapka ALADYN 100x135                 203.00    9.86    2001.58
  26. P04R      P04RIPP                                   26.00   15.95     414.70
  27. P06IDA    P06 IDA                                  196.00   19.93    3906.28
  28. P08N      P08N                                     193.00    6.60    1273.80
  29. P09BW     P09BW                                     72.00    4.25     306.00
  30. P09N      P09N                                     212.00    6.45    1367.40
  31. P09P      P09P                                      12.00    5.23      62.76
  32. P11K      P11K                                      76.00   22.10    1679.60
  33. P12H      P12HUGO                                  116.00   48.49    5624.84
  34. P13       P13 Oslona SAMSON                         48.00    7.41     355.68
  35. P139      P139 PIT                                  26.00    8.17     212.42
  36. P13M      P13M                                       6.00    1.08       6.48
  37. P14       P14 LOTTE                               1463.00    8.48   12406.24
  38. P141      P141 Bluza                                12.00   18.73     224.76
  39. P148      P148 MINNA                                18.00    6.47     116.46
  40. P14R      P14RIPP                                  444.00   15.68    6961.92
  41. P157      P157 CZAPKA                               18.00    6.23     112.14
  42. P167      P167                                       5.00   12.94      64.70
  43. P16L      P16L                                      20.00    8.40     168.00
  44. P16M      P16M                                     356.00    7.20    2563.20
  45. P16S      P16S                                     219.00    6.74    1476.06
  46. P18M      P18 MORITZ                                 4.00    8.92      35.68
  47. P19S      P19 STELLA                                 6.00   13.27      79.62
  48. P206      P206 KNUT                                  5.00   23.74     118.70
  49. P207      P207 TONI                                 12.00   10.21     122.52
  50. P20Z      P20 ZOI                                  839.00   27.26   22871.14
  51. P211      P211 KARINA                               24.00   15.20     364.80
  52. P212      P212 HANNA                                16.00   13.88     222.08
  53. P217      P217 HARIET                               56.00    8.31     465.36
  54. P21INKA   P21INKA                                   60.00   21.84    1310.40
  55. P220      P220 LINAS                                27.00   24.33     656.91
  56. P221      P221 KARA                                  8.00   20.08     160.64
  57. P225      P225 KRISTINA                             64.00    6.50     416.00
  58. P22N      P22N DIETER                             2209.00    3.48    7687.32
  59. P22P      P22P                                     790.00    3.57    2820.30
  60. P22R      P22R                                     836.00    5.13    4288.68
  61. P22T      P22T                                     950.00    4.94    4693.00
  62. P23       P23 MARTHA                                 9.00   16.65     149.85
  63. P25       P25 MEIKE                                650.00    5.61    3646.50
  64. P27J      P27 JOHANNA                              854.00    8.32    7105.28
  65. P27T      P27T                                    1624.00   13.15   21355.60
  66. P28       P.028.. Spiworek MILADKA                  21.00   37.29     783.09
  67. P28       P.28.. Spiworek Miladka                   21.00   37.29     783.09
  68. P29L      P29 LINUS                                164.00   11.04    1810.56
  69. P300      P300                                      16.00    6.94     111.04
  70. P30H      P30 HANS                                 114.00    6.52     743.28
  71. P30R      P30R                                     153.00    6.78    1037.34
  72. P31M      P31M                                      52.00   18.57     965.64
  73. P32N      P32 NELE                                  21.00   27.24     572.04
  74. P33       P33 TOM                                  715.00    8.49    6070.35
  75. P35N      P35N PETER                               302.00    4.38    1322.76
  76. P35R      P35R                                      18.00    5.58     100.44
  77. P36MILA   P36 MILA SPIWOREK                        160.00   24.99    3998.40
  78. P37J      P37 JENS                                 101.00   40.75    4115.75
  79. P38M      P38M                                     556.00   17.48    9718.88
  80. P39M      P39MATEO                                  36.00   20.11     723.96
  81. P400      P400                                       3.00   27.63      82.89
  82. P401      P401                                       3.00   19.49      58.47
  83. P402      P402                                       3.00   33.36     100.08
  84. P40L      P40 LILLI                                 96.00    7.72     741.12
  85. P42-2     P42-2 KLAUS stars grau                   267.00    7.70    2055.90
  86. P42-3     P42-3 bunt                                20.00    9.80     196.00
  87. P42-4     P42-4 KLAUS frotta                       753.00   10.08    7590.24
  88. P42R      P42RIPP                                  126.00    8.11    1021.86
  89. P42bunt   P42bunt                                   60.00   11.22     673.20
  90. P43B      P43B Bodo                                340.00   21.82    7418.80
  91. P44       P44 Poduszka 4szt.                       776.00   13.26   10289.76
  92. P45       P45                                      131.00   19.61    2568.91
  93. P46       P46 Oslona 3szt.                         180.00    8.08    1454.40
  94. P46R      P46R                                      20.00    9.21     184.20
  95. P48G      P48 GERDA                                 23.00   16.62     382.26
  96. P49       P49 ANTON                                130.00   27.33    3552.90
  97. P51       P51 Kocyk                                187.00   13.38    2502.06
  98. P51R      P51R                                      48.00   18.32     879.36
  99. P53H      P53HENRY                                  78.00   19.63    1531.14
 100. P54-2     P54-2 CLAUSI stars grau                  378.00    6.68    2525.04
 101. P54-3     P54-3                                    816.00    8.89    7254.24
 102. P54R      P54RIPP                                  282.00    6.92    1951.44
 103. P54S      P54S                                      66.00    8.98     592.68
 104. P54bunt   P54bunt                                   30.00    8.47     254.10
 105. P56C      P56C CAJA                                107.00   12.48    1335.36
 106. P57N      P57N MARIKE                              297.00   19.10    5672.70
 107. P58M      P58M                                      12.00   11.17     134.04
 108. P61B      P61BUTTJE                                134.00    8.36    1120.24
 109. P61R      P61R                                      14.00    8.39     117.46
 110. P62E      P62EMILA                                  20.00    4.91      98.20
 111. P63F      P63FYNN                                   33.00    9.88     326.04
 112. P64       P64 SVEN                                 872.00    3.17    2764.24
 113. P64R      P64R                                      80.00    4.54     363.20
 114. P66S      P66S                                      78.00   18.24    1422.72
 115. P67       P67 QUIRIN                                40.00    5.93     237.20
 116. P67R      P67R                                       8.00    7.66      61.28
 117. P68       Daisy dzaszek                            526.00   12.33    6485.58
 118. P68T      P68T                                     720.00   15.62   11246.40
 119. P70R      P70R                                     102.00   17.77    1812.54
 120. P75C      P75C                                     604.00    9.87    5961.48
 121. P77L      P77L WETBAG                                3.00   10.28      30.84
 122. P79J      P79 JAMES                                 39.00   38.44    1499.16
 123. P79N      P79N                                       6.00   27.77     166.62
 124. P81       P81 LOLA                                 228.00    6.06    1381.68
 125. P81T      P81T                                     312.00    8.36    2608.32
 126. P85A      P85 ARTUR                               2777.00    2.72    7553.44
 127. P85R      P85R                                     240.00    3.41     818.40
 128. P85T      P85T                                     632.00    3.39    2142.48
 129. P86F      P86 FENEK                                  6.00    6.06      36.36
 130. P87M      P87M                                     238.00    8.23    1958.74
 131. P87S      P87S                                     167.00    6.88    1148.96
 132. P88C      P88C                                     453.00    8.72    3950.16
 133. P89K      P89 KONRAD                               415.00   17.17    7125.55
 134. P89R      P89RIPP                                   69.00   20.10    1386.90
 135. P90M      P90MIA                                   455.00   10.85    4936.75
 136. P91 S     P91S                                     662.00    5.68    3760.16
 137. P91L      P91L                                     555.00    6.45    3579.75
